Month,Starting_day,Average_distance,Average_amount
1,1,5.394411652119241,19.565880333233707
1,16,5.053523299628317,18.849869490208068
2,1,6.224118794096238,19.21423910463858
2,16,5.809556810665932,19.878940350438274
3,1,6.442990326813408,20.29690855726158
3,16,5.504069666391406,20.755608446018496
4,1,5.618632523223211,21.1200989199731
4,16,5.546105056180586,21.037355457801407
5,1,6.198675369065214,21.518062994494297
5,16,7.741069199080349,22.31758523166161
6,1,6.2602549221727815,22.04635959581888
6,16,6.111722013164792,21.855333058482078
